역명,total_flow,X좌표,Y좌표
강남경찰서.강남운전면허시험장,80544,127.0670285,37.50979858
강남경찰서면허시험장,61647,127.0659088,37.50989832
강남구민체육관,14003,127.053878,37.47599
강남구보건소,68678,127.0417754,37.51547752
강남구청.강남세무서,154990,127.0472972,37.51843073
강남구청역,194770,127.0406416,37.51851786
강남더드림병원.도성초등학교,5640,127.0507991,37.50101373
강남더샵라르고오피스텔,40984,127.1048166,37.47522745
강남더샵포레스트아파트,6531,127.0944328,37.48212796
강남데시앙포레상가앞,10808,127.0918529,37.48136201
강남데시앙포레정문,15360,127.0890614,37.48140682
강남서초교육지원청,3385,127.0474431,37.51145259
강남세곡체육공원,1855,127.112862,37.465565
강남세브란스병원,17007,127.0474623,37.49334893
강남스포츠문화센터,1971,127.1050565,37.48857758
강남신동아파밀리에,7304,127.10131,37.46549863
강남신동아파밀리에1단지,18940,127.0999208,37.46543393
강남신동아파밀리에2단지,6897,127.1017129,37.46460178
강남역,24329,127.0300922,37.49850371
강남역11번출구,44891,127.027257,37.499338
강남역12번출구,78709,127.0295583,37.49881037
강남역1번출구.역삼세무서,109652,127.0290968,37.49829745
강남우체국,20256,127.07827,37.493332
강남을지병원,102069,127.0286299,37.51822049
강남한양수자인아파트,27998,127.1133506,37.47815743
강남현대힐스테이트에코,37588,127.1049628,37.47501091
강남효성해링턴코트,30346,127.0939127,37.46768843
개원중학교.대모산입구역2번출구,47363,127.072156,37.492262
개일초등학교앞,21922,127.057212,37.48617316
개포1동주민센터,46284,127.0609694,37.48250136
개포1동주민센터.개포고등학교,13949,127.059951,37.483066
개포3일원1동통합주민센터,19832,127.0753813,37.49238876
개포4단지5단지,2096,127.068309,37.486365
개포4단지6단지,1047,127.0720735,37.48685148
개포4단지7단지,5561,127.0735756,37.48791825
개포4복합문화센터.달터공원,6010,127.0496564,37.47655014
개포6단지앞,7600,127.07042,37.489962
개포고등학교,25373,127.058944,37.484213
개포도서관,21358,127.0638959,37.4836959
개포동역1번출구,2395,127.0654139,37.4889678
개포동역6번출구.개포시장,60287,127.0665798,37.4885441
개포동역7번출구.개포시장,62492,127.0661615,37.4886502
개포동역8번출구,1881,127.064961,37.488672
개포래미안포레스트,35899,127.0546103,37.47994114
개포시장.개포5단지상가,17136,127.0680733,37.48952309
개포우성6차아파트,4518,127.0578803,37.47573633
개포우성아파트,9581,127.0578639,37.47656443
개포자이프레지던스,38903,127.069256,37.483766
개포주공5단지경기여고,62138,127.0674712,37.48670758
개포주공7단지앞,35805,127.0738086,37.48915924
개포중학교,45688,127.063631,37.480019
개포지구대,9216,127.0512017,37.47942401
개포파크빌리지,27405,127.057772,37.477328
개포한신.우성4차아파트,18006,127.050373,37.48708516
개현초등학교,28361,127.062072,37.481319
건영유치원,1554,126.914592,37.48504959
경기여고,44871,127.067244,37.48653
고속철도수서역,96205,127.1043917,37.48487216
광림교회.현대고등학교,136036,127.0252664,37.52538681
광수빌딩,27090,127.0493324,37.47906075
광연자동차학원앞,5031,127.116361,37.4656909
구룡마을,8967,127.064041,37.478975
구룡산입구,853,127.0617735,37.47729987
구룡역1번출구,2482,127.0589614,37.48616967
구룡역5번출구,2964,127.0591999,37.48610629
구룡중학교앞,29334,127.057243,37.485803
구룡초교사거리,30823,127.0542007,37.48090349
구룡초등학교,27289,127.05311,37.480828
국민은행그린공원,46211,127.0468255,37.47876982
국민은행논현동지점,10820,127.0373832,37.5085728
국민은행압구정종합금융센터,119061,127.0281189,37.52309828
국악중고교,15366,127.0506449,37.47565181
군인공제회관,41531,127.052025,37.48921139
궁마을,37713,127.0973286,37.4854278
난곡사거리,37496,126.914462,37.483037
난곡입구,180653,126.915723,37.482237
남부초교후문,12930,126.9226406,37.48671975
남부초등학교,97958,126.9220448,37.48340202
노블발렌티웨딩홀,14567,127.0647589,37.5148307
논현고개,33050,127.0321076,37.51144604
논현동고개,48704,127.0323028,37.51025653
논현아이파크,42477,127.0364373,37.51122205
농협대치지점,99466,127.0611545,37.49793697
능인선원앞,10856,127.0523679,37.47255272
단대부고.대치아이파크아파트,34249,127.0537771,37.49467496
대왕초등학교,18777,127.1068385,37.46467083
대왕파출소,11898,127.1077414,37.46520256
대청역,36599,127.0786043,37.49323997
대청중학교,58400,127.0557033,37.49025786
대청초교삼거리,12926,127.0862704,37.49330698
대청초등학교,5943,127.0865721,37.49387062
대치2동주민센터.래미안하이스턴,18910,127.066677,37.501732
대치동미도아파트,33097,127.0677076,37.49560494
대치동우성아파트,28723,127.059611,37.49257709
대치동은마아파트,49816,127.068455,37.49890235
대치동현대아파트,55132,127.0591749,37.50164601
대치사거리,65032,127.0585776,37.50366047
대치아파트.대모산입구역3번출구,62135,127.0724873,37.492414
대치역1번출구,64221,127.0614984,37.4938593
대치역6번출구.강남구민회관,33248,127.064278,37.492785
대치역7번출구.선경아파트,30005,127.06408,37.492458
대치역8번출구,42314,127.0622309,37.49386241
대치유수지체육공원,23207,127.068123,37.501358
대치현대아파트,63848,127.0600626,37.50082381
대치SKVIEW아파트.서울교회,41398,127.0620557,37.49626135
대한사회복지회,84130,127.038818,37.501137
도곡1동주민센터.역삼럭키아파트,74337,127.0390292,37.49158005
도곡1차아이파크.도곡중학교,53944,127.0424021,37.49263498
도곡1차아이파크.역삼청소년수련관,81349,127.0417859,37.49280822
도곡2동주민센터.대치중학교,7772,127.0454044,37.48425407
도곡개포한신아파트,25616,127.0493284,37.48803731
도곡교회.인바디빌딩,7278,127.0554585,37.47443356
도곡렉슬아파트.강남세브란스병원,68201,127.0481867,37.49443678
도곡렉슬아파트정문,21120,127.0534356,37.49475081
도곡역2번출구.동부센트레빌,22321,127.0565229,37.49158559
도곡역3번출구,26163,127.0565475,37.49118189
도곡역4번출구,90550,127.05561,37.48997336
도곡중학교.강남세브란스병원,16501,127.0467216,37.49360204
도곡초등학교,48405,127.0566485,37.49768961
도곡한신아파트,16066,127.0411576,37.48687583
도산공원,49324,127.0333295,37.52211382
도산공원사거리,54481,127.0345958,37.52203014
도산공원사거리.호림아트센터,63850,127.0349369,37.52157901
도성초교사거리,27733,127.0519568,37.50082089
도성초등학교,50294,127.0512136,37.50012236
도성초등학교앞,7121,127.0503203,37.50046426
동영문화센터,14964,127.0448219,37.49801718
디아크리온강남아파트,15566,127.1076847,37.4760979
디에이치아너힐즈,26081,127.068697,37.48373
디에이치자이개포아파트,41784,127.075569,37.49230038
디에이치퍼스티어아이파크,34934,127.056741,37.478381
라움아트센터.시티프라디움더강남,19727,127.0396489,37.50774496
래미안강남힐즈,95731,127.0973807,37.47234832
래미안개포루체하임아파트,10379,127.0814751,37.48930287
래미안그레이튼아파트,26670,127.0457084,37.49604364
래미안대치팰리스,32835,127.0585796,37.49255959
래미안루체하임.일원동맛의거리,4288,127.0816026,37.4895038
래미안블레스티지아파트,76102,127.063217,37.480651
래미안포레아파트,100619,127.1067826,37.47454897
래미안하이스턴.대치순복음교회,43378,127.0638661,37.49994499
럭키아파트,27157,127.0411233,37.49163715
리엔파크3단지,4157,127.1038273,37.46303894
리엔파크4단지.강남데시앙파크,25511,127.101875,37.46122735
마루공원,6219,127.083313,37.49482026
매봉삼성아파트SK리더스뷰,37957,127.0489607,37.48814495
매봉역,91978,127.0448542,37.48591664
매봉역입구,45269,127.046452,37.485055
못골마을,44026,127.1018882,37.47310235
못골마을.강남자곡아이파크,45876,127.1017218,37.47326499
무역센터,150397,127.0610583,37.51202794
방죽마을,31308,127.1073504,37.47238378
방죽마을입구,2358,127.1064669,37.47122002
뱅뱅사거리.구영동중학교,54186,127.0328076,37.48772432
뱅뱅사거리.역삼동,48618,127.0335981,37.49026251
봉림교,74559,126.9245167,37.48477707
봉은사.삼성1파출소앞,163558,127.0594354,37.51496776
봉은사.코엑스북문,23196,127.058829,37.51417056
봉은사역.삼성래미안아파트,2051,127.0622907,37.51471615
봉은사역3번출구.삼성1파출소,184365,127.0601629,37.51510797
봉은사역5번출구.광동병원,15436,127.0622,37.51445716
삼성2문화센터,28348,127.0461375,37.51109176
삼성동서광아파트,67134,127.0424518,37.51732334
삼성서울병원본관,10461,127.0843626,37.48808713
삼성서울병원사거리,39174,127.0824473,37.48911749
삼성서울병원정문,15518,127.0829903,37.48654451
삼성서울병원정문건너편,12196,127.0824492,37.48702518
삼성서울병원후문,44437,127.0875201,37.49019972
삼성아파트입구,136995,127.0595601,37.4981982
삼성역,197935,127.0643204,37.50743269
삼성역3번출구,66914,127.0637123,37.50716272
삼성역7번출구,149919,127.0626912,37.51039894
삼성중앙역.플래티넘아파트,44059,127.0515287,37.51266376
삼일자동차학원.강남자동차검사소,13358,127.1211805,37.4679154
삼정호텔,13530,127.0316905,37.50678565
삼정호텔앞,7009,127.0311108,37.50624203
상록수아파트앞,15213,127.0821222,37.48280463
상업지역,28099,127.1009107,37.46698339
새마을운동중앙회,44180,127.0672391,37.50189214
서울상록회관.한국기술센터,85935,127.044057,37.503232
서울세관,23748,127.0356283,37.51702735
서울세관사거리,8272,127.0346068,37.51531541
서울요양원.강남구립행복요양병원,3252,127.1034878,37.46070111
서울의료원강남분원,3686,127.065604,37.512568
서울일원동우체국,73679,127.0876266,37.49199699
선릉역,293263,127.050205,37.505143
선릉역8번출구.선정릉,63436,127.0483328,37.50620143
선정릉역.국가무형유산전수교육관,108857,127.0441955,37.50976426
선정릉역1번출구.시니어플라자,6113,127.0431015,37.51023545
선정릉역4번출구.시니어플라자,2852,127.042892,37.50984134
성수대교남단.현대아파트,30062,127.0341409,37.52991981
세곡2지구3.4단지,48128,127.1100617,37.47692913
세곡동,9604,127.1095067,37.46461058
세곡동사거리,4672,127.1078295,37.46357779
세곡동주민센터,7246,127.1080982,37.46963952
세곡중학교.세명초등학교,109483,127.091798,37.47024797
세곡푸르지오,24596,127.0938351,37.46753884
세곡푸르지오.은곡삼거리,16405,127.0946994,37.46497027
세관앞,34221,127.0360666,37.51575936
세종고등학교,1759,127.1029015,37.48786397
센트럴아이파크.강남구도시관리공단,53968,127.0520467,37.51577954
수도공고,2073,127.062351,37.48755
수도공고앞,2163,127.061926,37.487234
수도전기공고후문,18103,127.065624,37.48478206
수서119안전센터앞,31727,127.0938503,37.48424129
수서교회.수서동성당앞,6087,127.0945645,37.48348612
수서삼성아파트앞,32089,127.0909893,37.4843994
수서역,338364,127.1007453,37.48830768
수서역.로즈데일빌딩,113587,127.1028677,37.48739844
수서역1번출구,127300,127.1007358,37.48718852
수서역5번출구,59498,127.1025969,37.48686027
수서역5번출구.이마트앞,98834,127.1026711,37.48678908
숙명여고,23852,127.0523675,37.48972707
시립수서청소년센터,19655,127.089107,37.483863
시티프라디움더강남.라움아트센터,27194,127.0389267,37.50786276
신구중학교,46058,127.0332343,37.52673198
신논현역,7530,127.0259767,37.50195985
신논현역3번출구,18354,127.0258484,37.50507548
신논현역3번출구.교보타워사거리,33334,127.0241456,37.5057773
신논현역4번출구,17128,127.025813,37.504682
신논현역6번출구,53237,127.0257902,37.50235998
신분당선.강남역4번출구,31832,127.0295651,37.49453959
신사동교회,42360,127.030625,37.52069983
신사동주민센터.신사시장,7066,126.9178057,37.4855926
신사동진양빌딩앞,20972,126.9146116,37.48769406
신사시장.선한이웃교회,19271,126.914038,37.48452751
신사역,162136,127.020607,37.512972
신사역1번출구,98125,127.0217344,37.51685743
신사역3번출구,94764,127.0200788,37.51522892
신사역6번출구,18021,127.019435,37.517422
신사역8번출구.가로수길,105623,127.0221753,37.51743974
신사중학교,199114,127.0204991,37.52292774
신한은행데이터센터,21397,127.0436967,37.498146
씨네시티앞,86564,127.0375997,37.52289704
아가방빌딩.하나은행,73806,127.0387713,37.50164082
아크로힐스논현,16128,127.0396749,37.50922287
암센터정문,7008,127.0877106,37.48872808
암센터후문.장례식장,7467,127.0877033,37.48990617
압구정역3번출구,78586,127.028714,37.52600147
압구정역4번출구,100719,127.0281888,37.52573496
압구정중고등학교.현대아파트,23917,127.033683,37.52975875
압구정파출소,193279,127.0362763,37.52911151
양재역.종합복지관,104077,127.0361954,37.48471001
양재역4번출구,114815,127.03684,37.48506487
양재역말죽거리.강남베드로병원,75468,127.0379686,37.48525104
양재전화국,5931,127.0407893,37.48564556
양전초등학교,6675,127.070593,37.490243
언북중학교입구,46513,127.0308206,37.52029789
언주역2번출구.차병원사거리,60972,127.0333617,37.50795302
언주역3번출구,42657,127.0335056,37.50847832
언주역4번출구.차병원사거리,4881,127.0351434,37.50783691
언주역5번출구.차병원사거리,14712,127.0353225,37.50755772
역삼1동주민센터,3236,127.032341,37.496548
역삼2동주민센터.대림역삼아파트,33565,127.0459927,37.49624526
역삼2동주민센터.래미안그레이튼아파트,3951,127.0466349,37.49482692
역삼동개나리아파트,52849,127.0475962,37.49937887
역삼동성당.역삼자이아파트,30714,127.0437951,37.49987934
역삼럭키아파트.역삼월드메르디앙아파트,63575,127.0387195,37.49183877
역삼역.포스코타워역삼,77687,127.0335959,37.49948955
역삼역4번출구,65218,127.0347357,37.50042852
역삼역6번출구,101024,127.0363873,37.50154076
역삼역7번출구.GS타워,123113,127.0367662,37.5015046
역삼자이아파트,27181,127.0443197,37.49981037
역삼중학교.강남세브란스병원,72997,127.0476983,37.49471181
역삼청소년수련관.도곡1차아이파크,5024,127.0427156,37.49310435
역삼초등학교,44269,127.0341844,37.49421849
역삼e-편한세상아파트,67310,127.0512978,37.49925456
영동119안전센터,40174,127.0381007,37.52255572
영동2교,10840,127.0436209,37.48241061
영동고교앞,64555,127.0398933,37.52150355
영동교입구,63369,127.0554558,37.52228122
영동교입구.청담자이아파트,22846,127.0560023,37.52278378
영동농협풍림아이원아파트,39062,127.0563511,37.50219797
영동시장,17524,127.0234689,37.51185086
영동시장.논현역1번출구,38249,127.0224536,37.51133678
영동시장.논현역3번출구,37670,127.0223963,37.50934621
영동중앙교회,74705,127.0379751,37.49815395
영희초등학교,27296,127.0804871,37.49119143
영희초등학교정문,5913,127.0826658,37.49177024
영희초등학교후문,3793,127.0804796,37.49152003
예림당아트홀.신한은행전산센터,28559,127.0442962,37.49822236
우리은행청담지점.청담삼익아파트,38356,127.0568972,37.5210777
우성3차아파트,14708,127.0571827,37.48381873
우성6차아파트,17938,127.0551995,37.47754865
우성캐릭터빌아파트,20130,127.0508009,37.48700968
은곡마을,9013,127.0976382,37.46698614
은곡마을.강남신동아파밀리에,53759,127.102457,37.465026
은곡마을.LH이편한세상,35559,127.1025352,37.4653477
은곡마을진입로,7167,127.098702,37.46575763
은마아파트,148155,127.0628615,37.49559591
은마아파트입구사거리,119731,127.0600675,37.49872738
은마치안센터,50172,127.0615234,37.49809897
은천성결교회,3068,126.9214263,37.48832724
일원동한솔아파트,42478,127.0793139,37.48254453
일원본동주민센터,98767,127.0847498,37.48348852
일원역,17262,127.0837488,37.48427409
일원역7번출구,8670,127.0833077,37.48491143
일원주유소.삼성서울병원후문,50566,127.0876823,37.49065376
일원지구대,14335,127.0844467,37.49250248
일원초등학교,46572,127.0746897,37.48833877
일지아트홀,86817,127.0395012,37.52491181
일지아트홀.압구정노인복지관,93819,127.0396346,37.52431596
쟁골마을,29367,127.1050773,37.48188696
중대부고,44632,127.0550937,37.49188724
중대부고앞,16608,127.054525,37.492538
중동고등학교,20968,127.0800445,37.49288671
진선여자중고등학교,139980,127.0499655,37.5027442
차병원,94312,127.0344861,37.50553234
차병원차움,32625,127.0441711,37.52366667
청담2치안센터,44057,127.0482136,37.52302548
청담동래미안아파트,46274,127.042905,37.5176598
청담동성당,34101,127.0495735,37.5204992
청담동주민센터,281595,127.0493318,37.52461528
청담역.경기고교,189922,127.0561675,37.52098119
청담역7번출구,32923,127.0506188,37.51763565
청담초등학교,38962,127.0451221,37.52680283
청담초등학교앞,54571,127.0450857,37.52646133
총지사,138331,127.0404502,37.49632261
총회회관.휘문고입구,28582,127.066098,37.504156
코엑스동문,26415,127.0608776,37.51220759
코원에너지서비스,4551,127.0760972,37.49806976
태화기독교사회복지관,31402,127.0933528,37.48452821
펜트힐루논현.임피리얼팰리스호텔,31128,127.0351526,37.51354654
포스코건너편,105801,127.0554269,37.50668319
포스코빌딩,93539,127.0548888,37.50604938
포스코사거리,92112,127.056318,37.50782266
포스코사거리교차로,15529,127.0579067,37.50703217
포이초교,12940,127.0526852,37.47522068
푸른마을아파트앞,45344,127.0805834,37.48291292
풍양빌딩,9034,127.0488174,37.47738927
학동역,181560,127.0301679,37.51478423
학동역5번출구,52895,127.0301493,37.51357315
학동역6번출구,24673,127.0296321,37.51378055
학여울역,8053,127.071451,37.497144
한국무역센터.삼성역,104875,127.060899,37.508448
한국자산신탁.센터필드,59753,127.044247,37.502783
한국토지주택공사앞,50597,127.0426621,37.51319091
한남대교전망카페,47931,127.0156822,37.52455246
한별구립어린이집,59398,127.0549014,37.51041039
한신휴플러스6단지,8650,127.1039562,37.46897554
한아름아파트.사이룩스오피스텔,5698,127.1043696,37.48828832
한양아파트.압구정로데오역,259466,127.039579,37.52827
한티역,132945,127.0521475,37.4981161
한티역2번출구.서울강남고용노동지청,72577,127.053929,37.49677356
한티역3번출구.서울강남고용노동지청,102522,127.0541425,37.49644636
한티역6번출구,57357,127.05194,37.495722
한티역7번출구,100488,127.0514785,37.49600522
현대1차.우성3차아파트,16401,127.056549,37.482973
현대1차아파트,10716,127.05525,37.482287
현대아파트경남아파트,24849,127.0531174,37.48287456
호림박물관,123352,126.9183766,37.48272316
휘문고교사거리,34376,127.065214,37.504394
휘문중고등학교,97644,127.0618981,37.50396586
KT강남지사,91129,127.0419791,37.50475497
LH수서아파트,63016,127.105708,37.479078
LH이편한세상,17866,127.1018279,37.46663251
LPG가스충전소,17594,127.035844,37.490756
