사용일자,노선명,역명,승차총승객수,하차총승객수,총합,위도,경도
20250401,7호선,강남구청,19049,20738,39787,37.517179,127.041255
20250401,7호선,논현,21824,22189,44013,37.511093,127.021415
20250401,2호선,강남,86319,84962,171281,37.497175,127.027926
20250401,분당선,대모산입구,6951,6524,13475,37.491373,127.07272
20250401,분당선,개포동,4921,5120,10041,37.489116,127.06614
20250401,분당선,구룡,4247,4250,8497,37.486839,127.058856
20250430,2호선,이대,22429,24199,46628,37.556733,126.946013
20250401,3호선,대치,14010,14278,28288,37.494612,127.063642
20250401,3호선,도곡,7192,7179,14371,37.490922,127.055452
20250401,3호선,매봉,15034,14450,29484,37.486947,127.046769
20250401,9호선2~3단계,봉은사,22693,23843,46536,37.514219,127.060245
20250430,2호선,신당,17432,17966,35398,37.56564,127.019614
20250401,9호선2~3단계,삼성중앙,9297,9689,18986,37.513011,127.053282
20250430,2호선,성수,53022,58014,111036,37.544581,127.055961
20250401,2호선,선릉,66287,58539,124826,37.504503,127.049008
20250430,9호선2~3단계,선정릉,21203,22256,43459,37.510735,127.043677
20250430,5호선,서대문,25943,26461,52404,37.565773,126.966641
20250401,3호선,수서,20399,20272,40671,37.487378,127.101907
20250401,9호선,신논현,32878,32647,65525,37.504598,127.02506
20250401,3호선,신사,29774,30906,60680,37.516334,127.020114
20250401,분당선,압구정로데오,19759,21263,41022,37.527381,127.040534
20250401,3호선,양재(서초구청),42657,45156,87813,37.484147,127.034631
20250401,9호선2~3단계,언주,13278,13505,26783,37.507287,127.033868
20250401,2호선,역삼,60357,68193,128550,37.500622,127.036456
20250401,7호선,청담,21620,23274,44894,37.519365,127.05335
20250401,3호선,일원,13276,12853,26129,37.483681,127.08439
20250401,3호선,학여울,2258,2231,4489,37.496663,127.070594
20250401,분당선,한티,16452,17813,34265,37.496237,127.052873